idind,year,type,wage,nls,logwage,lognls
11640,1998,2,300,2000,5.703782474656201,7.600902459542082
1323,1998,2,400,3000,5.991464547107982,8.006367567650246
1335,1998,2,150,2500,5.0106352940962555,7.824046010856292
14521,1998,2,2000,4000,7.600902459542082,8.294049640102028
1350,1998,2,230,6000,5.438079308923196,8.699514748210191
14522,1998,2,110,9000,4.700480365792417,9.104979856318357
11647,1998,2,700,2000,6.551080335043404,7.600902459542082
1390,1998,2,50,8000,3.912023005428146,8.987196820661973
1404,1998,4,156,4000,5.049856007249537,8.294049640102028
1405,1998,4,296,3000,5.69035945432406,8.006367567650246
11652,1998,4,189,1000,5.241747015059643,6.907755278982137
1461,1998,3,900,5000,6.802394763324311,8.517193191416238
1482,1998,3,300,12500,5.703782474656201,9.433483923290392
1490,1998,3,560,5000,6.327936783729195,8.517193191416238
1494,1998,3,560,3000,6.327936783729195,8.006367567650246
1501,1998,3,600,5000,6.396929655216146,8.517193191416238
1507,1998,3,200,5000,5.298317366548036,8.517193191416238
1508,1998,3,1400,2000,7.24422751560335,7.600902459542082
1511,1998,3,1560,8000,7.352441100243583,8.987196820661973
1512,1998,3,240,5000,5.480638923341991,8.517193191416238
1515,1998,3,200,5000,5.298317366548036,8.517193191416238
11677,1998,3,150,3000,5.0106352940962555,8.006367567650246
11678,1998,3,150,5000,5.0106352940962555,8.517193191416238
1524,1998,3,360,6000,5.886104031450156,8.699514748210191
1525,1998,3,700,5000,6.551080335043404,8.517193191416238
14542,1998,3,890,8000,6.7912214627261855,8.987196820661973
1530,1998,3,100,2500,4.605170185988092,7.824046010856292
1531,1998,3,600,5000,6.396929655216146,8.517193191416238
1538,1998,3,800,2000,6.684611727667927,7.600902459542082
1544,1998,3,420,10000,6.040254711277414,9.210340371976184
1545,1998,3,2000,10000,7.600902459542082,9.210340371976184
1549,1998,3,520,2000,6.253828811575473,7.600902459542082
1550,1998,3,900,3000,6.802394763324311,8.006367567650246
1560,1998,3,165,700,5.10594547390058,6.551080335043404
1563,1998,3,300,1000,5.703782474656201,6.907755278982137
1567,1998,3,350,2000,5.857933154483459,7.600902459542082
1569,1998,3,318,1500,5.762051382780177,7.313220387090301
1570,1998,3,239,2500,5.476463551931511,7.824046010856292
1575,1998,3,50,3000,3.912023005428146,8.006367567650246
1589,1998,3,345,3000,5.84354441703136,8.006367567650246
1592,1998,3,208,2500,5.337538079701318,7.824046010856292
1595,1998,3,300,5000,5.703782474656201,8.517193191416238
1596,1998,3,318,5000,5.762051382780177,8.517193191416238
11694,1998,3,240,5000,5.480638923341991,8.517193191416238
1609,1998,4,150,1500,5.0106352940962555,7.313220387090301
1615,1998,4,400,1000,5.991464547107982,6.907755278982137
1617,1998,4,450,2000,6.1092475827643655,7.600902459542082
1618,1998,4,780,2000,6.659293919683638,7.600902459542082
1633,1998,4,500,1000,6.214608098422191,6.907755278982137
1641,1998,4,140,5000,4.941642422609304,8.517193191416238
14547,1998,4,211,1000,5.351858133476067,6.907755278982137
1662,1998,4,243,5000,5.493061443340548,8.517193191416238
1667,1998,4,250,10000,5.521460917862246,9.210340371976184
1675,1998,4,476,10000,6.16541785423142,9.210340371976184
1677,1998,4,1500,3000,7.313220387090301,8.006367567650246
1678,1998,4,1600,2000,7.3777589082278725,7.600902459542082
1681,1998,4,407,1500,6.008813185442595,7.313220387090301
1689,1998,4,400,5000,5.991464547107982,8.517193191416238
1690,1998,4,1000,1000,6.907755278982137,6.907755278982137
1721,1998,4,296,3000,5.69035945432406,8.006367567650246
